dates,usertype,0
2019-04-01,Customer,2831
2019-04-01,Subscriber,48560
2019-04-02,Customer,2699
2019-04-02,Subscriber,55192
2019-04-03,Customer,5061
2019-04-03,Subscriber,62850
2019-04-04,Customer,4784
2019-04-04,Subscriber,61612
2019-04-05,Customer,1518
2019-04-05,Subscriber,32941
2019-04-06,Customer,15663
2019-04-06,Subscriber,50866
2019-04-07,Customer,15001
2019-04-07,Subscriber,49708
2019-04-08,Customer,6856
2019-04-08,Subscriber,63644
2019-04-09,Customer,3296
2019-04-09,Subscriber,56031
2019-04-10,Customer,5269
2019-04-10,Subscriber,65708
2019-04-11,Customer,4153
2019-04-11,Subscriber,58261
2019-04-12,Customer,5401
2019-04-12,Subscriber,52597
2019-04-13,Customer,17833
2019-04-13,Subscriber,53659
2019-04-14,Customer,13441
2019-04-14,Subscriber,45029
2019-04-15,Customer,3415
2019-04-15,Subscriber,42239
2019-04-16,Customer,6100
2019-04-16,Subscriber,57216
2019-04-17,Customer,6311
2019-04-17,Subscriber,58927
2019-04-18,Customer,5220
2019-04-18,Subscriber,56335
2019-04-19,Customer,11188
2019-04-19,Subscriber,53745
2019-04-20,Customer,7800
2019-04-20,Subscriber,28984
2019-04-21,Customer,15152
2019-04-21,Subscriber,36713
2019-04-22,Customer,7156
2019-04-22,Subscriber,36953
2019-04-23,Customer,11901
2019-04-23,Subscriber,63533
2019-04-24,Customer,11330
2019-04-24,Subscriber,66393
2019-04-25,Customer,7533
2019-04-25,Subscriber,53288
2019-04-26,Customer,2669
2019-04-26,Subscriber,34446
2019-04-27,Customer,12948
2019-04-27,Subscriber,43486
2019-04-28,Customer,6200
2019-04-28,Subscriber,35000
2019-04-29,Customer,5836
2019-04-29,Subscriber,54953
2019-04-30,Customer,4868
2019-04-30,Subscriber,57792
2020-02-01,Customer,4144
2020-02-01,Subscriber,31398
2020-02-02,Customer,3322
2020-02-02,Subscriber,25271
2020-02-03,Customer,3855
2020-02-03,Subscriber,49667
2020-02-04,Customer,3181
2020-02-04,Subscriber,49297
2020-02-05,Customer,2549
2020-02-05,Subscriber,47995
2020-02-06,Customer,1286
2020-02-06,Subscriber,30870
2020-02-07,Customer,1713
2020-02-07,Subscriber,30930
2020-02-08,Customer,3917
2020-02-08,Subscriber,28866
2020-02-09,Customer,4193
2020-02-09,Subscriber,28442
2020-02-10,Customer,1195
2020-02-10,Subscriber,25537
2020-02-11,Customer,1702
2020-02-11,Subscriber,36087
2020-02-12,Customer,2550
2020-02-12,Subscriber,46786
2020-02-13,Customer,1457
2020-02-13,Subscriber,35956
2020-02-14,Customer,1800
2020-02-14,Subscriber,35121
2020-02-15,Customer,2254
2020-02-15,Subscriber,19344
2020-02-16,Customer,3932
2020-02-16,Subscriber,23344
2020-02-17,Customer,5910
2020-02-17,Subscriber,35036
2020-02-18,Customer,2428
2020-02-18,Subscriber,41676
2020-02-19,Customer,3140
2020-02-19,Subscriber,46173
2020-02-20,Customer,2245
2020-02-20,Subscriber,40441
2020-02-21,Customer,2417
2020-02-21,Subscriber,36269
2020-02-22,Customer,6530
2020-02-22,Subscriber,32913
2020-02-23,Customer,9560
2020-02-23,Subscriber,36984
2020-02-24,Customer,4761
2020-02-24,Subscriber,51588
2020-02-25,Customer,1895
2020-02-25,Subscriber,37673
2020-02-26,Customer,2227
2020-02-26,Subscriber,42980
2020-02-27,Customer,2067
2020-02-27,Subscriber,41344
2020-02-28,Customer,2693
2020-02-28,Subscriber,40667
2020-02-29,Customer,2980
2020-02-29,Subscriber,26272
2020-03-01,Customer,4131
2020-03-01,Subscriber,27747
2020-03-02,Customer,4685
2020-03-02,Subscriber,52261
2020-03-03,Customer,2945
2020-03-03,Subscriber,46778
2020-03-04,Customer,4478
2020-03-04,Subscriber,54192
2020-03-05,Customer,4729
2020-03-05,Subscriber,53957
2020-03-06,Customer,2202
2020-03-06,Subscriber,31933
2020-03-07,Customer,6545
2020-03-07,Subscriber,32903
2020-03-08,Customer,10481
2020-03-08,Subscriber,36513
2020-03-09,Customer,9905
2020-03-09,Subscriber,58863
2020-03-10,Customer,6643
2020-03-10,Subscriber,57634
2020-03-11,Customer,6548
2020-03-11,Subscriber,55268
2020-03-12,Customer,4930
2020-03-12,Subscriber,46402
2020-03-13,Customer,6526
2020-03-13,Subscriber,36817
2020-03-14,Customer,11412
2020-03-14,Subscriber,32827
2020-03-15,Customer,8576
2020-03-15,Subscriber,27564
2020-03-16,Customer,3536
2020-03-16,Subscriber,25945
2020-03-17,Customer,3464
2020-03-17,Subscriber,20867
2020-03-18,Customer,5075
2020-03-18,Subscriber,25421
2020-03-19,Customer,3200
2020-03-19,Subscriber,17642
2020-03-20,Customer,6391
2020-03-20,Subscriber,24936
2020-03-21,Customer,9152
2020-03-21,Subscriber,22560
2020-03-22,Customer,4525
2020-03-22,Subscriber,15366
2020-03-23,Customer,337
2020-03-23,Subscriber,3662
2020-03-24,Customer,3970
2020-03-24,Subscriber,16893
2020-03-25,Customer,1573
2020-03-25,Subscriber,10493
2020-03-26,Customer,4424
2020-03-26,Subscriber,17572
2020-03-27,Customer,6271
2020-03-27,Subscriber,20233
2020-03-28,Customer,1444
2020-03-28,Subscriber,7427
2020-03-29,Customer,1658
2020-03-29,Subscriber,7988
2020-03-30,Customer,2408
2020-03-30,Subscriber,12633
2020-03-31,Customer,2225
2020-03-31,Subscriber,12771
2020-04-01,Customer,3827
2020-04-01,Subscriber,16536
2020-04-02,Customer,3669
2020-04-02,Subscriber,15343
2020-04-03,Customer,1734
2020-04-03,Subscriber,9575
2020-04-04,Customer,8339
2020-04-04,Subscriber,20528
2020-04-05,Customer,7702
2020-04-05,Subscriber,18053
2020-04-06,Customer,5943
2020-04-06,Subscriber,18717
2020-04-07,Customer,5149
2020-04-07,Subscriber,18497
2020-04-08,Customer,3891
2020-04-08,Subscriber,16853
2020-04-09,Customer,2246
2020-04-09,Subscriber,11946
2020-04-10,Customer,2817
2020-04-10,Subscriber,13459
2020-04-11,Customer,10252
2020-04-11,Subscriber,22890
2020-04-12,Customer,10668
2020-04-12,Subscriber,20896
2020-04-13,Customer,1539
2020-04-13,Subscriber,6258
2020-04-14,Customer,5664
2020-04-14,Subscriber,19619
2020-04-15,Customer,4328
2020-04-15,Subscriber,17860
2020-04-16,Customer,3548
2020-04-16,Subscriber,16022
2020-04-17,Customer,3302
2020-04-17,Subscriber,15591
2020-04-18,Customer,3282
2020-04-18,Subscriber,12627
2020-04-19,Customer,17737
2020-04-19,Subscriber,29312
2020-04-20,Customer,4208
2020-04-20,Subscriber,17674
2020-04-21,Customer,2818
2020-04-21,Subscriber,14232
2020-04-22,Customer,4739
2020-04-22,Subscriber,19044
2020-04-23,Customer,3448
2020-04-23,Subscriber,15677
2020-04-24,Customer,1823
2020-04-24,Subscriber,10787
2020-04-25,Customer,22285
2020-04-25,Subscriber,36613
2020-04-26,Customer,1867
2020-04-26,Subscriber,7719
2020-04-27,Customer,2787
2020-04-27,Subscriber,15008
2020-04-28,Customer,10721
2020-04-28,Subscriber,28898
2020-04-29,Customer,3746
2020-04-29,Subscriber,17907
2020-04-30,Customer,2188
2020-04-30,Subscriber,12354
