dates,gender,0
2019-04-15,unknown,2218
2019-04-16,female,14695
2019-04-16,male,44765
2019-04-16,unknown,3856
2019-04-17,female,15055
2019-04-17,male,46030
2019-04-17,unknown,4153
2019-04-18,female,13724
2019-04-18,male,44326
2019-04-18,unknown,3505
2019-04-19,female,15083
2019-04-19,male,43147
2019-04-19,unknown,6703
2019-04-20,female,8787
2019-04-20,male,23476
2019-04-20,unknown,4521
2019-04-21,female,12710
2019-04-21,male,30083
2019-04-21,unknown,9072
2019-04-22,female,9991
2019-04-22,male,31490
2019-04-22,unknown,2628
2019-04-23,female,17694
2019-04-23,male,50842
2019-04-23,unknown,6898
2019-04-24,female,18189
2019-04-24,male,52662
2019-04-24,unknown,6872
2019-04-25,female,13490
2019-04-25,male,42618
2019-04-25,unknown,4713
2019-04-26,female,7608
2019-04-26,male,27756
2019-04-26,unknown,1751
2019-04-27,female,14154
2019-04-27,male,35334
2019-04-27,unknown,6946
2019-04-28,female,9916
2019-04-28,male,27848
2019-04-28,unknown,3436
2019-04-29,female,13940
2019-04-29,male,43258
2019-04-29,unknown,3591
2019-04-30,female,14454
2019-04-30,male,45163
2019-04-30,unknown,3043
2020-02-01,female,8754
2020-02-01,male,24523
2020-02-01,unknown,2265
2020-02-02,female,7032
2020-02-02,male,19653
2020-02-02,unknown,1908
2020-02-03,female,12523
2020-02-03,male,38577
2020-02-03,unknown,2422
2020-02-04,female,11910
2020-02-04,male,38426
2020-02-04,unknown,2142
2020-02-05,female,11138
2020-02-05,male,37651
2020-02-05,unknown,1755
2020-02-06,female,6852
2020-02-06,male,24335
2020-02-06,unknown,969
2020-02-07,female,6486
2020-02-07,male,25000
2020-02-07,unknown,1157
2020-02-08,female,7828
2020-02-08,male,22757
2020-02-08,unknown,2198
2020-02-09,female,8129
2020-02-09,male,22172
2020-02-09,unknown,2334
2020-02-10,female,5689
2020-02-10,male,20119
2020-02-10,unknown,924
2020-02-11,female,8191
2020-02-11,male,28264
2020-02-11,unknown,1334
2020-02-12,female,10943
2020-02-12,male,36518
2020-02-12,unknown,1875
2020-02-13,female,7908
2020-02-13,male,28366
2020-02-13,unknown,1139
2020-02-14,female,7703
2020-02-14,male,27937
2020-02-14,unknown,1281
2020-02-15,female,5087
2020-02-15,male,15301
2020-02-15,unknown,1210
2020-02-16,female,6428
2020-02-16,male,18789
2020-02-16,unknown,2059
2020-02-17,female,9903
2020-02-17,male,27921
2020-02-17,unknown,3122
2020-02-18,female,9444
2020-02-18,male,32956
2020-02-18,unknown,1704
2020-02-19,female,10694
2020-02-19,male,36487
2020-02-19,unknown,2132
2020-02-20,female,9079
2020-02-20,male,32054
2020-02-20,unknown,1553
2020-02-21,female,8007
2020-02-21,male,29006
2020-02-21,unknown,1673
2020-02-22,female,9354
2020-02-22,male,26589
2020-02-22,unknown,3500
2020-02-23,female,11925
2020-02-23,male,29681
2020-02-23,unknown,4938
2020-02-24,female,12645
2020-02-24,male,40675
2020-02-24,unknown,3029
2020-02-25,female,8640
2020-02-25,male,29541
2020-02-25,unknown,1387
2020-02-26,female,9631
2020-02-26,male,33984
2020-02-26,unknown,1592
2020-02-27,female,9073
2020-02-27,male,32750
2020-02-27,unknown,1588
2020-02-28,female,9047
2020-02-28,male,32490
2020-02-28,unknown,1823
2020-02-29,female,7034
2020-02-29,male,20554
2020-02-29,unknown,1664
2020-03-01,female,7713
2020-03-01,male,21935
2020-03-01,unknown,2230
2020-03-02,female,12905
2020-03-02,male,41280
2020-03-02,unknown,2761
2020-03-03,female,10995
2020-03-03,male,36839
2020-03-03,unknown,1889
2020-03-04,female,13288
2020-03-04,male,42609
2020-03-04,unknown,2773
2020-03-05,female,13312
2020-03-05,male,42388
2020-03-05,unknown,2986
2020-03-06,female,7335
2020-03-06,male,25314
2020-03-06,unknown,1486
2020-03-07,female,9858
2020-03-07,male,26051
2020-03-07,unknown,3539
2020-03-08,female,12561
2020-03-08,male,29255
2020-03-08,unknown,5178
2020-03-09,female,17015
2020-03-09,male,46638
2020-03-09,unknown,5115
2020-03-10,female,15693
2020-03-10,male,45023
2020-03-10,unknown,3561
2020-03-11,female,15145
2020-03-11,male,43279
